,sample,prediction,WER,runtime
0,"Joe Keaton disapproved of films, and Buster also had reservations about the medium.",Joe Keaton disapproved of films and Buster also had reservations about the medium.,0.07692307692307693,5.376129150390625
1,She'll be all right.,She'd be alright.,0.75,5.102939605712891
2,six,Six.,1.0,5.033135175704956
3,All's well that ends well.,"All is well, that ends well.",0.6,5.15716290473938
4,It is a busy market town that serves a large surrounding area.,It is a busy market town that serves a large surrounded area.,0.08333333333333333,5.3039867877960205
5,We are going to the football game tonight.,We are going to the football game tonight.,0.0,5.193852663040161
6,Elizabeth was about the same age as Maria.,Elisabeth was about the same age as Maria,0.25,5.492872953414917
7,Do you mean it?,Do you mean it?,0.0,5.101840496063232
8,How is Mozilla going to handle ambiguities like queue and cue?,"How is Mozilla going to handle and be with ease, like Q and Q?",0.5454545454545454,5.382444858551025
9,You are so rude!,You are so rude.,0.25,5.154306650161743
10,I guess you must think I'm kinda batty.,[ Inaudible ],1.0,5.125842809677124
11,No one near the remote machine you could ring?,No one near the remote machine you could ring.,0.1111111111111111,5.227925539016724
12,Groves started writing songs when she was four years old.,Braves started writing songs when she was four years old.,0.1,5.273514986038208
13,This led to both the Red Terror and the White Terror.,This led to both the red tear and the white tear.,0.36363636363636365,5.271483421325684
14,The Sacramento Valley Rail Station is just a short walk away.,The Sacramento Valley Rail Station is just a short walk away.,0.0,5.279553651809692
15,"The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.","The most recent presidents of the United States are Donald Trump, Barack Obama, and George W. Bush.",0.0,5.574368953704834
16,There was nothing to hold him back except himself.,There was nothing to hold him back except himself.,0.0,5.237762689590454
17,These locomotives are serviced at Washwood Heath.,These locomotives are serviced at Washwood Heath.,0.0,5.289154767990112
18,It might be in this writer's Top Ten!,It might be in this writer's top 10.,0.25,5.209708213806152
19,We spoke often.,We spoke often.,0.0,5.063337087631226
20,Mrs. Lewis was selected as the new commissioner.,Mrs. Lewis was selected as the new commissioner.,0.0,5.228586196899414
21,The electrician looked puzzled.,the definition,1.0,5.246124744415283
22,The ladder on the fire truck was not long enough.,The leather on the fire truck was not long enough.,0.1,5.25334095954895
23,I will tell her what we decided.,I will tell her what we decided.,0.0,5.16116738319397
24,Enoxaparin belongs to the class of drugs known as low molecular weight heparins.,"Hello, good morning.",1.0,5.498831033706665
25,"I guess, it's a never-ending story.",I guess it's a never ending story.,0.5,5.339637279510498
26,Good things come in small packages.,Good things come in small packages.,0.0,5.148252248764038
27,It is a member theater of the Union of the Theatres of Europe.,"It is a member theater of the Union, of the theaters of Europe.",0.15384615384615385,5.344199895858765
28,"I like apples, pears, and pomegranate, but I do like strawberries or grapes.","I like apples, pears, and pomegranate, but I do like strawberries or grapes.",0.0,5.507582187652588
29,YOU WANNA TAKE THIS OUTSIDE?,You wanna take this outside.,1.0,5.128861904144287
30,The immersion in hot water also kills the silkworm pupa.,The immersion in hot water also kills the sick worm poopa.,0.3,5.444010257720947
31,"She married her business partner, Steve Lane.","She married her business partner, Steven Lee.",0.2857142857142857,5.188755512237549
32,Who has already arrived?,Who has already arrived?,0.0,5.096114158630371
33,The attack on our root server overstrained our senior administrator.,That it take on your road server over strained our senior administrator,0.8,5.261480808258057
34,Do you want me?,Do you want me?,0.0,5.099205255508423
35,That would be funny if he did.,That would be funny if he did.,0.0,5.300976037979126
36,"Although she had flowers and applause, Mavis said she was not content.","Although she had flowers and applause, maybe said she was not content.",0.08333333333333333,5.329478979110718
37,"When the user's identity has been accepted by the server, you will be notified.","When the user's identity has been accepted by the server, you will be notified.",0.0,5.397217273712158
38,Madin was a significant figure of post-war Birmingham architecture.,Madden was a significant figure of post-war Birmingham architecture.,0.1111111111111111,5.260841608047485
39,Add the column and put the sum here.,Add the column and put the sum here.,0.0,5.1887359619140625
40,"Hello, Benjamin.",Hello Benjamin.,0.5,5.043935060501099
41,"After playing tennis in virtual reality, he felt dizzy.","After playing tennis in virtual reality, he felt dizzy.",0.0,5.271244287490845
42,A mansion was usually set on a one square.,E mention was usually sit on a one square.,0.3333333333333333,5.218936204910278
43,Have you the key?,Have you the key?,0.0,5.095186710357666
44,Rapidan Campaign May–June.,with them campaign made too,1.6666666666666667,5.2435219287872314
45,"Alston commented that he felt the cartoonist ""might have had some racial intent"".",Alstone commented that he felt the cartoonist might have had some racial intent.,0.23076923076923078,5.37795352935791
46,Doing a handstand needs a lot of practice to learn.,Doing a handstand needs a lot of practice to learn.,0.0,5.402386903762817
47,Man in red tshirt and baseball cap viewed from above he is has a pile of posters,Man in red t-shirt and baseball cap viewed from above he is has a pile of posture,0.11764705882352941,5.4678168296813965
48,The two films were then released within one day of each other.,The two films were then released within one day of each other.,0.0,5.308041572570801
49,‘What did he say his name was?’ asked the captain.,What did he say his name was asked the captain,0.3,5.408253192901611
50,"At the hospital, I met a very nice nurse.",At the hospital I met a very nice nurse.,0.1111111111111111,5.2192604541778564
51,yes,Yes.,1.0,5.018422365188599
